time,WQI,temperature,pH,oxygen,Conductivity,Turbidity,Permanganate,AmmoniaNitrogen,phosphorus,nitrogen
2020/11/09 0:00,0.928333333,26.1,6.69,6.57,160.4,11.5,5.11,0.191,0.077,1.9
2020/11/09 4:00,0.934333333,25.8,6.8,6.72,150.4,12.1,5.11,0.191,0.077,1.9
2020/11/09 8:00,0.877666667,25.6,6.7,6.53,147.1,12.6,4.79,0.149,0.077,1.75
2020/11/09 12:00,0.899666667,26.2,6.66,7.86,166.2,9.3,4.58,0.138,0.073,1.66
2020/11/09 16:00,0.869533333,26.6,7.21,8.64,157.2,10.9,4.03,0.123,0.055,1.55
2020/11/09 20:00,0.9748,26,6.36,7.86,182.9,7.4,5.22,0.092,0.076,1.96
2020/11/10 0:00,0.888066667,25.7,6.92,7.48,164.2,12.7,3.83,0.166,0.048,1.9
2020/11/10 4:00,0.871266667,25.4,6.98,7.06,161.9,12.5,3.83,0.166,0.048,1.9
2020/11/10 8:00,0.969066667,25.1,6.96,6.96,158.1,12.3,4.97,0.185,0.08,2.04
2020/11/10 12:00,0.963666667,25.4,6.94,7.35,154,14.1,4.73,0.18,0.078,1.99
2020/11/10 16:00,0.9934,25.7,7.41,7.97,155.6,12.2,5.04,0.133,0.086,1.97
2020/11/10 20:00,0.9862,25.3,7.09,7.24,162.8,10.7,5.4,0.148,0.087,2
2020/11/11 0:00,0.870666667,25.2,7.16,6.71,165.4,12.3,4.94,0.183,0.017,1.92
2020/11/11 4:00,0.856666667,25,7.15,6.36,169.1,11.1,4.94,0.183,0.017,1.92
2020/11/11 8:00,-0.0768,24.8,7.18,6.59,161.6,11.9,4.65,0.273,-1,2.25
2020/11/11 12:00,0.966866667,25.7,7.23,6.62,172.8,12.9,4.67,0.227,0.081,2.1
2020/11/11 16:00,1.059666667,26.1,7.34,7.12,169.4,12.3,4.91,0.291,0.085,2.34
2020/11/11 20:00,1.016466667,25.6,6.54,7.03,199.2,7.1,4.85,0.248,0.084,2.2
2020/11/12 0:00,0.938866667,25.2,6.8,6.88,180,8.9,4.1,0.255,0.056,2.1
2020/11/12 4:00,0.920066667,25,7.04,6.41,169.9,10,4.1,0.255,0.056,2.1
2020/11/12 8:00,0.935733333,24.8,7.12,6.07,167.7,12.8,4.42,0.243,0.071,2.13
2020/11/12 12:00,1.001333333,25.8,7.29,7.1,166.1,11.6,4.54,0.265,0.079,2.17
2020/11/12 16:00,0.985733333,26.2,7.33,7.02,175.2,13.1,4.96,0.213,0.081,2.08
2020/11/12 20:00,1.0206,25.5,7.15,6.36,178.3,11.5,4.86,0.261,0.082,2.35
2020/11/13 0:00,1.007266667,25,7.01,6.75,176.1,12.3,4.67,0.278,0.078,2.24
2020/11/13 4:00,0.991666667,24.7,7.16,6.36,168.7,13.6,4.67,0.278,0.078,2.24
2020/11/13 8:00,0.977533333,24.6,7.25,6.82,166.5,13.4,4.69,0.242,0.08,2.1
2020/11/13 12:00,0.964666667,25.4,7.28,6.68,168,15.4,4.73,0.214,0.077,2.1
2020/11/13 16:00,1.0218,25.7,7.39,7.41,171.9,13.7,4.98,0.237,0.08,2.16
2020/11/13 20:00,0.963266667,25.2,7.29,6.85,173.4,11.2,4.64,0.163,0.078,2.12
2020/11/14 0:00,0.987666667,25,7.08,6.67,176.1,10.6,4.58,0.251,0.072,2.23
2020/11/14 4:00,0.984466667,24.8,7.16,6.59,174.5,10.8,4.58,0.251,0.072,2.23
2020/11/14 8:00,0.9836,24.7,7.24,6.47,173.2,12.3,4.5,0.239,0.075,2.26
2020/11/14 12:00,0.992066667,24.9,7.32,6.84,170.9,12.2,4.67,0.229,0.073,2.22
2020/11/14 16:00,-0.105666667,24.7,7.32,6.71,170.6,13.8,4.78,0.213,-1,2.12
2020/11/14 20:00,0.944066667,24.4,7.13,6.47,175.7,13.9,4.61,0.228,0.08,2.03
2020/11/15 0:00,0.960733333,24.4,7.25,6.31,171.3,14.9,4.39,0.24,0.078,2.18
2020/11/15 4:00,0.964733333,24.1,7.19,6.41,167.5,14.3,4.39,0.24,0.078,2.18
2020/11/15 8:00,0.9174,24.1,7.22,6.25,167.6,13.9,4.62,0.202,0.079,1.97
2020/11/15 12:00,0.953866667,24.4,7.29,6.52,173.1,11.5,4.46,0.227,0.079,2.1
2020/11/15 16:00,1.006733333,24.4,7.35,6.77,171.2,12,4.66,0.238,0.077,2.28
2020/11/15 20:00,0.982866667,24.4,7.29,6.53,172.4,10.8,4.79,0.205,0.077,2.22
2020/11/16 0:00,0.329733333,24.3,7.04,6.41,176.8,9.1,4.57,0.23,0.075,-1
2020/11/16 4:00,0.924066667,24.2,7.18,5.99,174.9,13.9,4.19,0.234,0.068,2.15
2020/11/16 8:00,0.949733333,24.1,7.17,5.98,174.3,11.7,4.21,0.261,0.078,2.2
2020/11/16 12:00,0.964133333,24.7,7.24,6.26,173.8,14,4.18,0.262,0.076,2.23
2020/11/16 16:00,0.978733333,25,7.34,6.72,171.5,13.7,4.45,0.238,0.078,2.18
2020/11/16 20:00,0.965066667,24.6,7.28,6.72,171.5,11.3,4.52,0.238,0.076,2.11
2020/11/17 0:00,0.9302,24.4,7.06,6.32,174.4,11,4.32,0.217,0.076,2.07
2020/11/17 4:00,0.900333333,24.2,6.98,5.96,175.8,11.5,4.09,0.238,0.07,2.04
2020/11/17 8:00,0.9088,24.2,7.04,6.17,177.4,10.9,3.93,0.25,0.069,2.06
2020/11/17 12:00,0.942066667,24.8,7.24,6.78,173.9,11.6,3.92,0.241,0.068,2.12
2020/11/17 16:00,0.983466667,24.8,7.17,7.84,174.9,13,4.4,0.201,0.071,2.06
2020/11/17 20:00,0.940866667,24.6,6.6,6.77,196.3,8.4,4.31,0.202,0.072,2.07
